date,open,high,low,close
2018-01-02,25490,25492,25287.5,25393.5
2018-01-01,25570,25622,25411.8,25447
2017-12-29,25538,25598.2,25484.5,25570
2017-12-28,25475.4,25538.1,25404.4,25493.4
2017-12-27,25670,25755,25443,25496.4
2017-12-26,25652,25706.8,25593.7,25673.8
2017-12-22,25655,25720,25601,25666.4
2017-12-21,25655.4,25695,25555.2,25621.4
2017-12-20,25739.9,25795.7,25631.7,25663
2017-12-19,25680.1,25740.4,25615.4,25707.9
2017-12-18,25111,25773,24000,25610.7
2017-12-15,25549.6,25590,25439.2,25510.2
2017-12-14,25072.4,25244.2,24944,25213
2017-12-13,25140,25348,24962.1,25038.2
2017-12-12,25399,25399,25160.5,25178.2
2017-12-11,25450.9,25488,25364.6,25422.5
2017-12-08,25242.4,25389.9,25232.4,25364.5
2017-12-07,25001.2,25209,24940.4,25172
2017-12-06,25240,25240,24885.9,24927.4
2017-12-05,25297,25297,24980.2,25225
2017-12-04,25300,25374,25086,25185.9
2017-12-01,25510,25540,25211.3,25259.7
2017-11-30,25875,25875,25273,25332.1
2017-11-29,25840,25913.1,25781.2,25815.5
2017-11-28,25862,25988.9,25816.7,25876
2017-11-27,25774.4,25970,25710,25938.8
2017-11-24,25781,25885.7,25770,25842.5
2017-11-23,25820,25835.1,25652,25778.7
2017-11-22,25865,25874,25705,25792.5
2017-11-21,26200,26200,25785,25818.7
2017-11-20,25825,25867,25745.2,25831.9
2017-11-17,25800,25974.7,25752.2,25818.8
2017-11-16,25360.2,25550.5,25351.4,25515.9
2017-11-15,25345,25409.4,25260,25318.2
2017-11-14,25380.2,25523.5,25320.2,25401
2017-11-13,25535.1,25604.8,25442,25463.2
2017-11-10,25447,25667.6,25330.2,25495.2
2017-11-09,25362.4,25473.2,25256.5,25419.4
2017-11-08,25427.9,25520,25237,25299
2017-11-07,25650,25690.2,25337,25396.7
2017-11-06,25556.5,25715,25556.5,25618.7
2017-11-03,25550,25688.9,25427.2,25668.7
