date,open,high,low,close,volume,oi,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2020-12-18,13759.9,13799.1,13681.0,13774.05,9063225,12878475,OSB,13799.1,13799.1,,high,0.675545681916352,0,,,,,,-1.0,13454.2,,13454.2,,
2020-12-21,13732.15,13784.75,13155.55,13329.75,20159850,11232000,DB,13155.55,,13155.55,low,1.3068512162643766,0,13732.15,13784.75,13155.55,13763.75,0.0,-1.0,13454.2,13799.1,,13454.2,13454.2
2020-12-22,13339.9,13508.0,13222.35,13487.5,17122800,10892250,ISB,,,,,1.9658943466172356,0,,,,,,1.0,13799.1,13799.1,,,
2020-12-23,13479.85,13627.5,13448.0,13612.45,8902200,10665225,ISB,,,,,1.2080852454921833,0,,,,,,1.0,13799.1,13799.1,,,
2020-12-24,13675.05,13784.0,13641.0,13763.75,9821100,10335900,ISB,,,,,0.8918354372899827,0,,,,,,1.0,13799.1,13799.1,,,
2020-12-28,13845.0,13903.65,13802.15,13890.55,6421650,9378075,DB,,,,,0.6364038860952205,0,13845.0,14073.95,13802.15,14053.85,0.0,1.0,13799.1,,13155.55,13799.1,13799.1
2020-12-29,13949.7,13965.45,13868.0,13935.05,8319450,8259525,DB,,,,,0.4811608139188541,0,,,,,,-1.0,13155.55,,13155.55,,
2020-12-30,13979.0,13985.05,13870.95,13977.45,9891975,6570375,DB,,,,,0.7619415558631939,0,,,,,,-1.0,13155.55,,13155.55,,
2020-12-31,13968.1,14026.9,13930.95,13986.8,9097350,4031250,DB,,,,,0.39930505905567065,1,,,,,,-1.0,13155.55,,13155.55,,
2021-01-01,14002.1,14073.95,13997.05,14053.85,4562250,12168975,DB,,,,,0.40415971424201264,0,,,,,,-1.0,13155.55,,13155.55,,
2021-01-04,14100.0,14179.45,13970.05,14165.3,10099575,12682725,OSB,,,,,1.378368266115084,0,14100.0,14379.3,13970.05,14370.9,0.0,-1.0,13155.55,,13155.55,,
2021-01-05,14110.2,14227.75,14077.0,14217.95,9784350,13181400,DB,,,,,0.991352480491215,0,,,,,,-1.0,13155.55,,13155.55,,
